zone,zone_key,tier,signal,available_from,historical_temporal_granularity,real_time_granularity,forecast_source,horizons,forecast_granularity
West Denmark,DK-DK1,A,Price Day Ahead,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
West Denmark,DK-DK1,A,Renewable Energy,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
West Denmark,DK-DK1,A,Carbon Free Energy,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
West Denmark,DK-DK1,A,Fossil Only Carbon Intensity,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
West Denmark,DK-DK1,A,Carbon Intensity,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
West Denmark,DK-DK1,A,Electricity Flows,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
West Denmark,DK-DK1,A,Total Load,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
West Denmark,DK-DK1,A,Electricity Mix,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
West Denmark,DK-DK1,A,Total Reported Load,2018-01-01T00:00:00.000Z,"5min, 15min, hourly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
East Denmark,DK-DK2,A,Price Day Ahead,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
East Denmark,DK-DK2,A,Renewable Energy,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
East Denmark,DK-DK2,A,Carbon Free Energy,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
East Denmark,DK-DK2,A,Fossil Only Carbon Intensity,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
East Denmark,DK-DK2,A,Carbon Intensity,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
