zone,carbonIntensity,datetime,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod,temporalGranularity
US-NE-ISNE,360,2026-03-28T20:00:00.000Z,2026-03-29T12:41:24.411Z,2026-03-28T07:39:15.538Z,lifecycle,true,SANDBOX_MODE_DATA,hourly
US-NY-NYIS,345,2026-03-28T20:00:00.000Z,2026-03-29T13:25:40.759Z,2026-03-28T07:39:15.538Z,lifecycle,true,SANDBOX_MODE_DATA,hourly
US-MIDA-PJM,355,2026-03-28T20:00:00.000Z,2026-03-29T13:25:44.419Z,2026-03-28T07:39:26.172Z,lifecycle,true,SANDBOX_MODE_DATA,hourly
US-CAR-DUK,245,2026-03-28T20:00:00.000Z,2026-03-29T13:25:40.759Z,2026-03-28T07:39:15.538Z,lifecycle,true,SANDBOX_MODE_DATA,hourly
US-MIDW-MISO,335,2026-03-28T20:00:00.000Z,2026-03-29T13:25:59.908Z,2026-03-28T07:39:26.172Z,lifecycle,true,SANDBOX_MODE_DATA,hourly
US-CENT-SWPP,325,2026-03-28T20:00:00.000Z,2026-03-29T13:25:44.419Z,2026-03-28T07:39:26.172Z,lifecycle,true,SANDBOX_MODE_DATA,hourly
US-TEX-ERCO,340,2026-03-28T20:00:00.000Z,2026-03-29T12:41:06.906Z,2026-03-28T07:39:26.172Z,lifecycle,true,SANDBOX_MODE_DATA,hourly
US-CAL-CISO,335,2026-03-28T20:00:00.000Z,2026-03-29T13:25:44.419Z,2026-03-28T07:39:26.172Z,lifecycle,true,SANDBOX_MODE_DATA,hourly
US-NW-BPAT,225,2026-03-28T20:00:00.000Z,2026-03-29T13:25:59.908Z,2026-03-28T07:39:26.172Z,lifecycle,true,SANDBOX_MODE_DATA,hourly
US-SW-AZPS,315,2026-03-28T20:00:00.000Z,2026-03-29T13:25:59.908Z,2026-03-28T07:39:15.538Z,lifecycle,true,SANDBOX_MODE_DATA,hourly
